,rating,comment
13517,1.0,nghỉ thoáng mát dễ_chịu vẽ nóng_bỏng hiện_đại
5873,1.0,thơm
42011,1.0,thử rẻ đông không_nhớ
41371,1.0,chế tặng yêu tốt đoang hẳn
38591,1.0,gọi_là tròn lê đông ngại ghé liều ghé thử uống sẵn pudding kêu không_ngọt không_lạt thơm nhẹn tốt
12878,1.0,tuyệt_cú lựa_chọn trẻ thích đình ghé
3776,1.0,mưa cầm nhâm
2110,1.0,thái mò bình_thường không_ấn ăn_ở ghé tô không_hỏi tô không_lẽ chátcười cười tô chả_cá vừa_vặn ngại nhìu tíu
7461,1.0,ghé không_ấn
3026,1.0,thân_thiện
23644,1.0,kế phạm khúc đông đông không_rẻ
13369,1.0,tưởng mở_hàng sườn sụn ruốc một_chút
26007,1.0,tươi sốt hứa bù hài_lòng
15965,1.0,đầy_ắp phèo nấm_rơm tiều cảm tốt rùi miếng cắt dày đồng_tiền mỏng cật ổn nước_lèo tiều út
14048,1.0,bánh_xèo chuẩn
8488,1.0,hc mần thích sườn ướp mềm hông hẹp
3942,1.0,mắc xíu xứng_đáng ngỡ uống lạ lạ nước_cốt_dừa phát_hiện thơm chậm nhạt
12060,1.0,nan
23517,1.0,rộng_rãi không_bên vàng cổ_điển uống ổn không_đắt giảm_giá thử không_thích ẩm_ướt không_sạch
11408,1.0,thử giòn thơm đặc_trưng nhiệt_tình chấm_hết tiếp chúc đông
12864,1.0,tìmrộng đẹp mắtphù tập bạn_bè hợp tô cộng tạm ổntrình bày đẹp mắttuy không_đánh tẩm ướp không_bằng ghénước chấm đặc mê hải cười đông phảinên đợi cười
1154,1.0,thèm ghé thích đỏ tô bổ rẻ đồng_tiền
40557,1.0,cực nổi_tiếng cộng_đồng chủ_yếu thảo xé xào đậm xé thảo xào xé xá_xíu nếm vừa_miệng thiên xíu sâm bình_thường không_bị đói mơi bình_thường toàn kêu bún
20582,1.0,hợp_lý thơm không_mở ăn_vặt thử
21806,1.0,ggmap kiếm vỉa_hè chật nói_chuyện thân_thiện không_rành kêu xiên giá_cả
38508,1.0,truyền_thống mặn_mà thích nhân thử không_thử túm thử
14889,1.0,jumbo liên_hệ
17816,1.0,sang_trọng tạm ổn rẻ thử
4234,1.0,vô nâu xỉu uống không_quá cực thơm không_đắng hút thân_thiện
21499,1.0,trờihóa giấu giới_thiệu luônquán già sốt hấp_dẫn nấu nóng mời rãnh đói_bụng ghé
28337,1.0,quất riết ưu_ái thử thích dặn nướng nóng thơm phưng_phức chảy bóng_loáng phát thèm chả_miếng bánh_tráng thơm diếp dưa chấm mặn mặn dễ_chịu đồ_đạc dọn chủ_động
15748,1.0,trương thử chuyên ăn_vặt chiên tố nước_chấm rẻ
35709,1.0,dời khởi_nghĩa quyết_định thử không_quán không_quá rộng thoải_mái sạch_sẽ đa_dạng nuôi hủ_tiếu lẩu bày bắt_mắt xào sốt nêm nếm vừa_miệng thái xả gấp bảo nuôi cơm_chiên xỉu động thích lắng ghé monaco ghé monaco
13339,1.0,đông phết dễ_thương tông đồ_uống xuất_sắc ổn trà uống không_quá đắt học_viên thân_thiện tổ_chức tặng
37941,1.0,nan
43841,1.0,nổi_tiếng vô_số hiện_đại xưa cũ nổi yên_tĩnh ăn_vặt xí_muội ông_bà cộng cực cối chúc_mừng thủ yêu
22126,1.0,quá_trời đồng_giá ổn ngã đa xịt địa_chỉ
39898,1.0,sieuhoifa lâu_đời nổi_tiếng dần không_tầng chật_nhiên thích rộng chất_lượng đỏ nhiên dạo khô không_như xé bình_thường phục_vụ kêu giá_cả
7616,1.0,đồ_uống đào
35915,1.0,hút bảo_vệ môi_trường cầm trông cười ủng_hộ
25456,1.0,đẹp sống ảo cực lạ dễ_thương_nhân_viên thân_thiện cực dễ_thương chăm
5998,1.0,sạch
37604,1.0,rán rán sốt sốt rút_xương ổn dày
34764,1.0,ghé đông nhầm_lẫn thường_xuyên ghé
40985,1.0,nổi_tiếng đông hà đại_lễ kín đợi cổ gửi thích nhẹ không_gắt tiếc không_ở tận_hưởng không_ưa nhúng tóm không_hề thoải_mái
40632,1.0,đẹpm muộn phục chậm vắng người_lớn trẻ hải_sản trắng cháy đĩa không_đủ tráng mỏng xẹp nóng chiên đếm nhiêu miếng đắt không_đẹp
4458,1.0,kèm tổnh không_bị mặn
18199,1.0,rẻ chất_lượng
11822,1.0,tối trông đen trắng tiết đỏ thẫm bình_thường học_viên đầy_đặn đùng không_khí không_hợp hút nhiên nói_chuyện nhẹ_nhàng dắt hầm_hố thích tốt phục_vụ đem thích không_lạ
19766,1.0,dạy tốt toàn toàn uống uống không_sợ chất_lượng đào thích trắng đào ổn
5446,1.0,nan
30542,1.0,uống thử nướng không_thạch bạch thích bạch uống app bạch uống bực
